State,Metropolitan Area,Masjid Name,Masjid Location,Phone Number
Georgia,Atlanta Metro,Masjid Salaam,"1955 Campbellton Road SW, Atlanta, GA",(404) 758-3133
Georgia,Atlanta Metro,Masjid Ettibaa-Us-Sunnah,"2447 River Road, Ellenwood, GA",(404) 381-6596
Georgia,Atlanta Metro,Islamic Community Center of Atlanta,"288 E. Lanier Avenue, Fayetteville, GA",(770) 719-4447
Georgia,Atlanta Metro,Community Masjid of Atlanta,"547 West End Place, Atlanta, GA",(404) 955-7548
Georgia,Atlanta Metro,Masjid Salafis-Salih,"1231 Simpson Road, Atlanta, GA",(404) 753-5544
Georgia,Atlanta Metro,Masjid As-Siddiq,"4055 Annewakee Road, Douglasville, GA",(770) 947-3396
Georgia,Atlanta Metro,Sahebozzaman Islamic Center,"4853 Old Mountain Park Road, Roswell, GA",(770) 642-9411
Georgia,Atlanta Metro,The Islamic Community Center of Atlanta,"288 Lanier Street NW, Atlanta, GA",(770) 719-4447
Georgia,Atlanta Metro,Masjid Al Muminun,"1127 Hank Aaron Drive SW, Atlanta, GA",(404) 586-9562
Georgia,Atlanta Metro,Caravaan-e-Haider,"4949 Memorial Drive, Stone Mountain, GA",(404) 298-6213
Georgia,Atlanta Metro,West End Islamic Center,"1193 Lucille Avenue, Atlanta, GA",(888) 414-4011
Georgia,Atlanta Metro,Suwanee Masjid,"50 Old Peachtree Road NE, Suwanee, GA",(678) 800-1199
Georgia,Atlanta Metro,Islamic Center of Cartersville,"71 Maple Ridge Drive, Cartersville, GA",(770) 771-8646
Georgia,Atlanta Metro,Dar-e-Abbas,"5064 Lawrenceville Highway NW, Lilburn, GA",(404) 277-5295
Georgia,Atlanta Metro,Masjid At-Taqwa,"2674 Woodwin Road, Doraville, GA",(770) 454-8152
Georgia,Atlanta Metro,Islamic Center of Marietta ,"1018 Powder Springs Street, Marietta, GA",(770) 795-9391
Georgia,Atlanta Metro,Islamic Center of Mableton Masjid,"373 Veterans Memorial Highway SW, Mableton, GA",(404) 720-2200
Georgia,Atlanta Metro,Ar-Rahman Islamic Center,"1631 Westhaven Drive SW, Atlanta, GA",(678) 922-9397
Georgia,Atlanta Metro,Jaffari Center of Atlanta,"295 Patterson Avenue, Scottdale, GA",(404) 371-9702
Georgia,Atlanta Metro,Al-Rasol Islamic Center,"476 Hillcrest Road, Lilburn, GA",(404) 668-9944
Georgia,Atlanta Metro,Community of Bosniaks,"950 Grayson Highway SW, Lawrenceville, GA",(770) 864-9328
Georgia,Atlanta Metro,Masjid Bilal/CICG,"521 Flint Trail, Jonesboro, GA",(770) 629-2220
Georgia,Atlanta Metro,Darul Hadith Masjid,"101 Kenwood Road, Fayetteville, GA",(315) 629-9346
Georgia,Atlanta Metro,Islamic Center of West Georgia,"4055 Anneewakee Road, Douglasville, GA",(770) 947-3396
Georgia,Atlanta Metro,Masjid Uthman,"11 Dunwoody Park, Dunwoody, GA",(678) 871-7786
Georgia,Atlanta Metro,Hartsfield-Jackson Interfaith Airport Chapel,"6000 North Terminal Parkway, Atlanta, GA",(404) 762-1051
Georgia,Atlanta Metro,Auburn Masjid,"70 Carl-Midway Church Road, Auburn, GA",(770) 339-1122
Georgia,Atlanta Metro,Masjid Suffah,"2750 Jiles Road NW, Kennesaw, GA",(678) 848-1965
Georgia,Atlanta Metro,Allatoona Masjid & Community Center,"103 Victoria North Court, Woodstock, GA",(678) 744-7538
Georgia,Atlanta Metro,Islamic Center of Paulding County,"481 Butler Industrial Drive, Dallas, GA",(770) 765-3048
Georgia,Atlanta Metro,West Cobb Islamic Center,"3861 Ernest W Barrett Parkway SW, Marietta, GA",(678) 471-8631
Georgia,Atlanta Metro,Masjid Ibn Abbas,"2051 Godby Road, College Park, GA",(404) 462-1086
Georgia,Atlanta Metro,Masjid Al-Rahman  ,"1235 Peachtree Parkway, Cumming, GA",(770) 330-4204
Georgia,Atlanta Metro,Ibad-ur-Rahman Dawah Center,"2692 Sandy Plains Road, Marietta, GA",(404) 583-6477
Georgia,Atlanta Metro,Islamic Centre As-Siddique,"1412 Dresden Drive, Atlanta, GA",(404) 442-6978
Georgia,Atlanta Metro,Dalton Islamic Center,"2054 Dug Gap Road, Dalton, GA",(706) 529-9706
Georgia,Atlanta Metro,Mussalah Abdur Rahman ,"600 Peachtree Parkway, Cumming, GA",(678) 807-9178
Georgia,Central,Islamic Center of Columbus,"6550 Forest Road, Columbus, GA",(706) 568-6750
Georgia,Central,Masjid Al-Nur,"753 Church Avenue, Columbus, GA",(706) 324-2488
Georgia,Central,Islamic Center of Macon ,"1655 Eisenhower Parkway, Macon, GA",(478) 254-5528
Georgia,Central,Islamic Center of Middle Georgia,"2501 Elberta Road, Centerville, GA",(478) 922-4223
Georgia,Central,MSA Georgia Southern University ,"1332 Southern Drive, Statesboro, GA",(770) 718-7902
Georgia,Central,Masjid Abdullah Bin Mas'ud,"1640 5th Avenue, Columbus, GA",(706) 464-8347
Georgia,Central,Islamic Center of LaGrange,"118 Hamilton Road, LaGrange, GA",(706) 333-1755
Georgia,Central,Masjid Ibrahim,"1649 Elvan Avenue, Columbus, GA",(706) 888-9876
Georgia,Coastal Areas,Masjid Jihad,"117 East 34th Street, Savannah, GA",(912) 236-7387
Georgia,Coastal Areas,Islamic Center of Savannah,"1030 Dutchtown Road, Savannah, GA",(912) 920-0043
Georgia,Central Savannah River Area,Monroe Muslim Community Center,"150 North Hammond Drive, Monroe, GA",(404) 348-3479
Georgia,Central Savannah River Area,Islamic Society of Augusta,"465 Old Evans Road, Evans, GA",(706) 210-5030
Georgia,Central Savannah River Area,Masjid Al Huda,"1839 Ellis Street, Augusta, GA",(706) 667-6740
Georgia,Central Savannah River Area,Masjid Ibrahim,"Academic Drive, Building 38804, Augusta, GA",(706) 399-5006
Georgia,Central Savannah River Area,Al-Huda Islamic School of Augusta,"2055 Ellis Street, Augusta, GA",(706) 737-3316
Georgia,South,Muslim Cultural Center,"4004 Coleman Road North, Valdosta, GA",(229) 245-9975
Georgia,South,Albany Masjid of Al-Islam,"831 West Highland Avenue, Albany, GA",(229) 436-6326
Georgia,South,Islamic Center of Albany,"712 West Oglethorpe Blvd., Albany, GA",(229) 854-9400
Hawaii,Maui,Muslim Community of Maui,"270 Lalo Street, Kahului, HI",(808) 250-6999
Hawaii,Oahu,Muslim Association of Hawaii,"1935 Aleo Place, Honolulu, HI",(808) 947-6263
Idaho,Boise,Islamic Community of Bosniaks in Boise,"6250 South Cloverdale Road, Boise, ID",(208) 258-9390
Idaho,Boise,Islamic Center of Boise,"2719 West Stewart Street, Boise, ID",(208) 631-4099
Idaho,Boise,Imam Al-Mahdi Islamic Center,"212 East 36th Street, Boise, ID",(208) 331-2119
Idaho,Boise,Imam Al-Mahdi Islamic Center,"4243 North Cloverdale Road, Boise, ID",(208) 331-2119
Idaho,Pocatello,Islamic Center of Twin Falls,"455 Addison Avenue, Twin Falls, ID",(208) 410-0860
Idaho,Pocatello,The Islamic Society of South-East Idaho ,"1513 South 5th Avenue, Pocatello, ID",(208) 233-2635
Illinois,Cook County,Masjid Al Farooq,"8950 South Stony Island Avenue, Chicago, IL",(773) 359-4730
Illinois,Cook County,Islamic Society of Northwest Suburbs,"3950 Industrial Avenue, Rolling Meadows, IL",(847) 253-6400
Illinois,Cook County,Dar-Ut-Tawheed,"6314 North Western Avenue, Chicago, IL",(773) 317-0380
Illinois,Cook County,Downtown Islamic Center,"231 South State Street, Chicago, IL",(312) 939-9095
Illinois,Cook County,Chicago Islamic Center,"3357 West 63rd Street, Chicago, IL",(773) 436-8083
Illinois,Cook County,Masjid al Qadir,"7920 South Kingston Street, Chicago, IL",(773) 731-1024
Illinois,Cook County,Chicago Central Mosque & Islamic Center,"3617 West Belle Plaine Avenue, Chicago, IL",(773) 455-5855
Illinois,Cook County,Tabaq Mosque,"1245 North Clybourn Avenue, Chicago, IL",(312) 944-1245
Illinois,DuPage County,Islamic Center of Naperville (Al Hilal),"2844 West Ogden Avenue, Naperville, IL",(630) 426-3335
Illinois,DuPage County,Masjid DarusSalam,"21W525 North Avenue, Lombard, IL",(630) 847-6492
Illinois,DuPage County,Batavia Islamic Center,"222 South Batavia Avenue, Batavia, IL",(630) 879-0889
Illinois,DuPage County,Masjid Uthman,"1208 Lawler Avenue, Lombard, IL",(331) 218-6985
Illinois,DuPage County,Islamic Center of Wheaton,"900 East Geneva Road, Wheaton, IL",(630) 480-7592
Illinois,DuPage County,Muslim Society,"1785 Bloomingdale Road, Glendale Heights, IL",(630) 653-7872
Illinois,DuPage County,Islamic Foundation,"300 West Highridge Road, Villa Park, IL",(630) 941-8800
Illinois,DuPage County,Al-Aqsa Community Center,"17940 South Bronk Road, Plainfield, IL",(630) 289-0294
Illinois,DuPage County,Fox Valley Muslim Community Center,"1187 Timberlake Drive, Aurora, IL",(630) 801-7729
Illinois,DuPage County,Albanian American Islamic Center,"5825 St. Charles Road, Berkeley, IL",(630) 544-2609
Illinois,DuPage County,Masjid Al-Jameel,"4 North 251 Swift Road, Addison, IL",(312) 315-7439
Illinois,DuPage County,Masjid Al-Mustafa,"300 East 55th Street, Westmont, IL",(630) 538-3789
Illinois,DuPage County,Islamic Education Centre,"2N121 Goodrich Avenue, Glendale Heights, IL",(630) 469-5533
Illinois,DuPage County,Al Madina Islamic Center,"2N 579 Morton Road, West Chicago, IL",(630) 439-4138
Illinois,DuPage County,The Mecca Center,"720 Plainfield Road, Willowbrook, IL",(630) 241-2000
Illinois,DuPage County,Islamic Foundation of Southwest Suburbs,"16122 South Route 59, Suite 108, Plainsfield, IL",(630) 290-0857
Illinois,DuPage County,Muminoon Center for Progress,"3003 West Harrison Street, Chicago, IL",(312) 929-2749
Illinois,DuPage County,Dar Al-Tauheed Masjid,"736 South Francisco Avenue, Chicago, IL",(312) 823-7793
Illinois,DuPage County,Faizan-e-Madinah,"6821 North Western Avenue, Chicago, IL",(773) 465-7875
Illinois,DuPage County,Islamic Center of Western Suburbs,"28W774 Army Trail Road, West Chicago, IL",(630) 402-0805
Illinois,DuPage County,Islamic Center of Oakbrook Terrace,"1S270 Summit Avenue, Oakbrook Terrace, IL",(630) 282-6421
Illinois,DuPage County,Madani Masjid,"40 North Lincoln Street, Westmont, IL",(331) 251-8058
Illinois,DuPage County,Islamic Center of Kane County,"2325 Dean Street, St. Charles, IL",(872) 802-1152
Illinois,DuPage County,Islamic Center of Naperville (North),"25W530 75th Street, Naperville, IL",(630) 355-3733
Illinois,DuPage County,Downers Grove Recreation Center,"4500 Belmont Road, Downers Grove, IL",(630) 960-7250
Illinois,DuPage County,Masjid Haqq,"1620 Highland Avenue, Lombard, IL",(630) 519-4336
Illinois,DuPage County,Islamic Center of Aurora,"543 South Lake Street, Aurora, IL",(630) 780-6580
Illinois,DuPage County,Islamic Center of Naperville,"450 South Olesen Street, Naperville, IL",(630) 355-3733
Illinois,DuPage County,Masjid-e-Tayba ,"14455 South Budler Road, Plainfield, IL",(815) 200-8843
Illinois,Kane County,Academic of Islamic Education ,"37W437 Huntley Road, Dundee, IL",(630) 965-9635
Illinois,Lake County,Islamic Center of Chicago,"5933 North Lincoln Avenue, Chicago, IL",(773) 989-9330
Illinois,Lake County,Masjid-e-Abubakr,"1017 West Roscoe Street, Chicago, IL",(773) 281-9551
Illinois,Lake County,MEC,"8601 Menard Avenue, Morton Grove, IL",(847) 470-8801
Illinois,Lake County,Bosnian Islamic Cultural Center,"7022 North Western Avenue, Chicago, IL",(773) 338-4076
Illinois,Lake County,Shariah Board of America,"7045 North Western Avenue, Chicago, IL",(773) 764-8274
Illinois,Lake County,Islamic Community Center of Illinois (ICCI),"6435 West Belmont Avenue, Chicago, IL",(773) 637-3755
Illinois,Lake County,Chicago Central Mosque,"4053 North Monticello Avenue, Chicago, IL",(714) 804-8635
Illinois,Lake County,Kaleemiah Foundation,"4255 Main Street, Skokie, IL",(224) 243-2627
Illinois,Lake County,Islamic Community Center of Des Plaines,"480 Potter Road, Des Plaines, IL",(847) 824-1100
Illinois,Lake County,Masjid Al-Noor,"6151 North Greenview Avenue, Chicago, IL",(773) 465-3125
Illinois,Lake County,Masjid-e-Rahmat,"6412 North Talman Avenue, Chicago, IL",(773) 764-0896
Illinois,Lake County,Muslim Community Center,"4380 North Elston Avenue, Chicago, IL",(773) 725-9047
Illinois,Lake County,Baitusalaam Mosque,"1020 West Sheridan Road, Chicago, IL",(773) 508-8548
Illinois,Lake County,MASOM,"4353 West Lawrence Avenue, Chicago, IL",(773) 283-9718
Illinois,Lake County,Masjid-e-Hameedia,"1456 West Elmdale Avenue, Chicago, IL",(773) 274-2435
Illinois,Lake County,Masjid e Ayesha Siddiqah,"2409 West Devon Avenue, Chicago, IL",(773) 801-9101
Illinois,Lake County,Masjid e Faizan e Madeena,"6305 North Ridge Blvd, Chicago, IL",(773) 465-7875
Illinois,Lake County,Suffah Educational Guidance & Masjid,"8201 North Karlov Avenue, Skokie, IL",(773) 338-5145
Illinois,Lake County,Sri Lankan Muslim Community Center,"6412 North Hamilton Avenue, Chicago, IL",(773) 544-4010
Illinois,Lake County,Masjid-e-Tahoora,"6534 North Seeley Avenue, Chicago, IL",(773) 381-3135
Illinois,Lake County,Ahlul Bait Center,"2425 Main Street, Evanston, IL",(773) 997-9666
Illinois,Lake County,Darul Eiman,"6355 North Claremont Avenue, Chicago, IL",(773) 743-0333
Illinois,Lake County,Lakeshore Muslim Community Center ,"2150 West Devon Avenue, Chicago, IL",(773) 552-2000
Illinois,Lake County,Madinah Masjid,"4850 North Saint Louis Avenue, Chicago, IL",(773) 516-4631
Illinois,Lake County,Jamia Masjid,"6340 North Campbell, Chicago, IL",(773) 761-7863
Illinois,McHenry County,Masjid Bait-ul-Ilm,"485 South Bartlett Road, Streamwood, IL",(630) 837-1800
Illinois,McHenry County,IEC Hussaini,"2N121 Goodrich Avenue, Glendale Heights, IL",(630) 469-5598
Illinois,McHenry County,Islamic Community Center of Elgin,"345 Heine Avenue, Elgin, IL",(847) 695-3338
Illinois,McHenry County,Islamic Foundation North,"1751 North O'Plaine Road, Libertyville, IL",(847) 406-3730
Illinois,McHenry County,Al-Hira Community Center,"140 West Commercial Street, Wood Dale, IL",(630) 350-7860
Illinois,McHenry County,Islamic Center of McHenry County,"5008 East Crystal Lake Avenue, Crystal Lake, IL",(815) 893-6005
Illinois,McHenry County,Masjid Al-Huda,"1081 West Irving Park Road, Schaumburg, IL",(708) 894-3358
Illinois,McHenry County,Masjid ul-Islam,"1048 Bluff City Blvd., Elgin, IL",(847) 695-4685
Illinois,McHenry County,O'Hare Terminal 2 Chapel,"Chicago O'Hare International Airport, Terminal 2, Chicago, IL",(773) 686-2200
Illinois,McHenry County,United Muslims of America,"26W251 Widgeon Lane, Bartlett, IL",(630) 539-0786
Illinois,McHenry County,Islamic Cultural Center of Greater Chicago,"1810 North Pfingsten, Northbrook, IL",(847) 894-9650
Illinois,McHenry County,Nigerian Islamic Association,"932 West Sheridan Road, Chicago, IL",(773) 665-2451
Illinois,McHenry County,Turkish American Society Of Chicago,"501 Midway Drive, Mount Prospect, IL",(847) 640-7272
Illinois,McHenry County,Al Azhar Islamic Foundation ,"160 Hawthorne Road, Barrington, IL",(847) 277-9910
Illinois,McHenry County,Islamic Cultural Center of Lake County,"948 North Avenue, Waukegan, IL",(847) 662-4503
Illinois,McHenry County,American Muslim Peace Organization,"25669 North Hillview Court, Mundelein, IL",(703) 663-0800
Illinois,McHenry County,Khan Building Mosque,"5101 North Sheridan Road, Chicago, IL",(773) 769-5486
Illinois,Will County,The Prayer Center of Orland Park,"16530 104th Avenue, Orland Park, IL",(708) 349-6592
Illinois,Will County,American Islamic Association,"8860 West Saint Francis Road, Frankfort, IL",(815) 469-1551
Illinois,Will County,Masjid Al-Faatir,"1200 East 47th Street, Chicago, IL",(773) 336-7400
Illinois,Will County,Masjid Al-Ihsan,"321 East Pershing Road, Chicago, IL",(773) 932-8467
Illinois,Will County,Muslim Association of Bolingbrook,"351 Veterans Parkway, Bolingbrook, IL",(630) 759-7351
Illinois,Will County,Al Muhajireen Mosque,"3777 West Columbus Avenue, Chicago, IL",(773) 299-6243
Illinois,Will County,Masjid Mu'minun,"335 South Sacramento Blvd., Chicago, IL",(312) 224-4614
Illinois,Will County,Mosque Foundation,"7360 West 93rd Street, Bridgeview, IL",(708) 430-5666
Illinois,Will County,Al-Salam Mosque Foundation,"3247 West 63rd Street, Chicago, IL",(773) 925-0677
Illinois,Will County,Masjid Al-Taqwa,"3065 East 93rd Street, Chicago, IL",(773) 440-5076
Illinois,Will County,Muslim Association of Bolingbrook,"560 East North Frontage Road, Bolingbrook, IL",(630) 759-7351
Illinois,Will County,South Suburban Islamic Center of Harvey,"15200 South Broadway Avenue, Harvey, IL",(708) 297-5165
Illinois,Will County,At-Takaful Islamic Society,"4819 South Ashland Avenue, Chicago, IL",(312) 247-2666
Illinois,Will County,Ghausia Islamic Center of Harvey,"188 East 147th Street, Harvey, IL",(708) 439-8878
Illinois,Central Illinois,Central Illinois Mosque & Islamic Center,"106 South Lincoln Avenue, Urbana, IL",(217) 344-1555
Illinois,Central Illinois,Greater Decatur Islamic Center,"1635 Huston Drive, Decatur, IL",(217) 877-2863
Illinois,Central Illinois,Islamic Society Of Greater Springfield,"3000 Stanton Street, Springfield, IL",(217) 529-8970
Illinois,Central Illinois,Masjid Ibrahim,"2407 East Washington Street, Bloomington, IL",(309) 663-2828
Illinois,Central Illinois,Islamic Foundation of Peoria,"823 West Salaam Drive, Peoria, IL",(309) 691-8195
Illinois,Central Illinois,Islamic Center of Macomb,"601 Wigwam Hollow Road, Macomb, IL",(309) 833-3875
Illinois,Central Illinois,Islamic Center of Quincy,"2433 North 12th Street, Quincy, IL",(217) 223-0800
Illinois,Central Illinois,Islamic Center of Peoria,"4125 West Charter Oak Road, Peoria, IL",(309) 688-4605
Illinois,Central Illinois,Danville Muslim Community Center,"14 Ridgeview Street, Danville, IL",(217) 446-3622
Illinois,Central Illinois,Bradley University MSA Masjid,"1315 West Main Street, Peoria, IL",(347) 570-3153
Illinois,Central Illinois,Faizan e Madinah Islamic Center,"1102 North Hershey Road, Bloomington, IL",(309) 323-0099
Illinois,Central Illinois,Cultural Center at EIU,"600 West Lincoln Avenue, Charleston, IL",(217) 581-6690
Illinois,Central Illinois,Light of Islam,"46 East 147th Street, Harvey, IL",(708) 331-7255
Illinois,Central Illinois,Islamic Center of Mclean County,"421 Olympia Drive, Bloomington, IL",(309) 533-4412
Illinois,Central Illinois,Islamic Educational Center of Lafayette,"1744 Everett Street, Lafayette, IN",(951) 316-4484
Illinois,Northern Illinois,Muslim Community Center of Greater Rockford,"5921 Darlene Drive, Rockford, IL",(815) 397-3311
Illinois,Northern Illinois,Masjid-e-Quba,"980 East Rollins Road, Round Lake Beach, IL",(224) 577-9073
Illinois,Northern Illinois,Islamic Center of Bloomington-Normal,"2911 Gill Street, Bloomington, IL",(309) 664-0304
Illinois,Northern Illinois,American Muslim Community Organization,"108 South Lakewood Road, Lake in the Hills, IL",(847) 604-4818
Illinois,Northern Illinois,Rahmah Foundation,"134 West Monaville Road, Lake Villa, IL",(847) 609-6822
Illinois,Northern Illinois,ICNA Rockford,"1110 Arthur Avenue, Rockford, IL",(815) 991-8082
Illinois,South,Islamic Center of Carbondale,"511 South Poplar Street, Carbondale, IL",(618) 549-3868
Illinois,South,Carbondale Muslim Center,"530 North Wall Street, Carbondale, IL",(618) 457-6522
Illinois,South,Islamic Center of Marion,"4501 West Deyoung Street, Marion, IL",(618) 998-8049
Illinois,South,An-Noor Community Center,"3255 Mathers Road, Springfield, IL",(217) 529-8970
Indiana,Indianapolis Metro,ISNA Headquarters,"6555 South County Road 750 East, Plainfield, IN",(317) 839-8157
Indiana,Indianapolis Metro,Al Salam Foundation,"9551 North Valparaiso Court, Indianapolis, IN",(317) 850-2494
Indiana,Indianapolis Metro,Geist Community Center,"14500 East 96th Street, McCordsville, IN",(317) 333-6845
Indiana,Indianapolis Metro,Muslim Community Center,"4836 Mount Vernon Drive, Indianapolis, IN",(317) 786-8911
Indiana,Indianapolis Metro,Masjid Al-Mumineen,"4088 Millersville Road, Indianapolis, IN",(317) 545-6335
Indiana,Indianapolis Metro,Nur-Allah Islamic Center,"2040 East 46th Street, Indianapolis, IN",(317) 251-9796
Indiana,Indianapolis Metro,Islamic Center of Muncie,"5141 West Hessler Road, Muncie, IN",(765) 288-8014
Indiana,Indianapolis Metro,Masjid As-Sunnah,"2020 East 46th Street, Indianapolis, IN",(317) 496-3239
Indiana,Indianapolis Metro,Dar Uz-Zikr,"2715 North Tibbs Avenue, Indianapolis, IN",(317) 237-0575
Indiana,Indianapolis Metro,IQRA Center of Indiana,"2183 Stanley Road, Plainfield, IN",(317) 418-8111
Indiana,Indianapolis Metro,Masjid Al-Fajr,"2846 Cold Spring Road, Indianapolis, IN",(317) 515-4238
Indiana,Indianapolis Metro,Al Huda Foundation,"12201 Lantern Road, Fishers, IN",(317) 570-9100
Indiana,Indianapolis Metro,Zainabia Community Center,"4444 West 56th Street, Indianapolis, IN",(317) 733-0929
Indiana,Indianapolis Metro,Al-Haqq Foundation,"5550 Georgetown Road, Indianapolis, IN",(317) 291-0778
Indiana,Indianapolis Metro,Masjid As-Sahaba,"711 South High School Road, Indianapolis, IN",(317) 661-1725
Indiana,North Indiana,Islamic Center of Fort Wayne,"1109 Chute Street, Fort Wayne, IN",(260) 425-9834
Indiana,North Indiana,Islamic Society of Michiana,"3310 Hepler Street, South Bend, IN",(574) 272-0569
Indiana,North Indiana,Great News Islamic Center,"431 Dundee Street, South Bend, IN",(574) 232-0138
Indiana,North Indiana,Northwest Indiana Islamic Center,"9803 Colorado Street, Crown Point, IN",(219) 756-7622
Indiana,North Indiana,Gary Masjid,"1473 West 15th Ave, Gary, IN",(219) 885-3018
Indiana,North Indiana,Illiana Islamic Association,"9606 Spring Street, Highland, IN",(219) 924-2940
Indiana,North Indiana,UEF Mosque,"2223 Goshen Road, Fort Wayne, IN",(260) 414-4206
Indiana,North Indiana,Bosnian Islamic Cultural Center,"3828 Mobile Avenue, Fort Wayne, IN",(260) 220-2845
Indiana,North Indiana,Masjid Al Amin,"3702 West 11th Avenue, Gary, IN",(219) 949-1854
Indiana,North Indiana,Burmese Muslim Education & Community Center,"2121 Seddlemeyer Avenue, Fort Wayne, IN",(260) 444-8388
Indiana,North Indiana,Kendallville Masjid,"802 Sawyer Road, Kendallville, IN",(260) 318-2432
Indiana,South Indiana,Bloomington Islamic Center,"1925 East Atwater Avenue, Bloomington, IN",(812) 333-1611
Indiana,South Indiana,Islamic Center of Evansville,"4200 Grimm Road, Newburgh, IN",(812) 853-8806
Indiana,South Indiana,Islamic Society of Columbus,"2310 Chestnut Street, Columbus, IN",(812) 376-3205
Indiana,South Indiana,University of Evansville Musalla,"1800 Lincoln Avenue, Evansville, IN",(812) 488-2000
Indiana,West Indiana,Islamic Center of Terre Haute,"1319 South 6th Street, Terre Haute, IN",(812) 232-0254
Indiana,West Indiana,Greater Lafayette Islamic Center,"1022 1st Street, West Lafayette, IN",(765) 743-8650
Iowa,Cedar Rapids,Iowa City Mosque,"1812 West Benton Street, Iowa City, IA",(319) 354-6167
Iowa,Cedar Rapids,Mother Mosque of America,"1335 9th Street NW, Cedar Rapids, IA",(319) 366-3150
Iowa,Cedar Rapids,Islamic Center of Cedar Rapids,"2999 First Avenue SW, Cedar Rapids, IA",(319) 362-0857
Iowa,Cedar Rapids,Islamic Center of Quad Cities,"6005 34th Avenue, Moline, IL",(309) 792-1690
Iowa,Cedar Rapids,Muslim American Society ,"2121 North Towne Lane NE, Cedar Rapids, IA",(319) 533-2450
Iowa,Des Moines,Darul Arqum Islamic Center,"1212 Iowa Avenue, Ames, IA",(515) 292-3683
Iowa,Des Moines,Islamic Center of Des Moines,"6201 Franklin Avenue, Des Moines, IA",(515) 255-0212
Iowa,Des Moines,Muslim Community Organization of Des Moines,"1117 42nd Street, Des Moines, IA",(515) 266-7591
Iowa,Des Moines,Bosnian Islamic Center ZemZem,"3500 2nd Avenue, Des Moines, IA",(515) 707-3804
Iowa,Eastern Iowa,Muslim Community of the Quad Cities,"2115 East Kimberly Road, Bettendorf, IA",(563) 359-8123
Iowa,Eastern Iowa,Islamic Center of Davenport,"5912 Utica Ridge Road, Davenport, IA",(319) 323-4024
Iowa,Northern Iowa,Masjid Al-Noor,"728 West 2nd Street, Waterloo, IA",(319) 233-6640
Iowa,Northern Iowa,Islamic Society of Cerro Gordo,"122 1/2 North Federal Avenue, Mason City, IA",(641) 424-4621
Iowa,Western Iowa,Mosque of Sioux City,"223 10th Street, Sioux City, IA",(712) 234-1670
Kansas,Kansas City Metro,Islamic Center of Manhattan,"1224 Hylton Heights Road, Manhattan, KS",(785) 340-7053
Kansas,Kansas City Metro,Islamic Center of Lawrence,"1917 Naismith Drive, Lawrence, KS",(785) 749-1638
Kansas,Kansas City Metro,Islamic Center of Johnson County,"9001 West 151st Street, Overland Park, KS",(913) 239-0770
Kansas,Kansas City Metro,Islamic Center of Leavenworth,"545 Oregon Street, Leavenworth, KS",(913) 250-2000
Kansas,Topeka,Topeka Islamic Center,"1115 SE 27th Street, Topeka, KS",(785) 233-1171
Kansas,Topeka,Islamic Center of Emporia,"1125 Mechanic Street, Emporia, KS",(620) 343-9229
Kansas,Wichita,Islamic Society of Wichita,"6655 East 34th Street, Wichita, KS",(316) 682-5479
Kansas,Wichita,Islamic Association of Mid Kansas,"3406 Taft Street, Wichita, KS",(316) 945-0472
Kansas,Wichita,Masjid Alnoor,"3104 East 17th Street North, Wichita, KS",(316) 687-4946
Kansas,Wichita,Masjid of Hays,"1409 Pine Street, Hays, KS",(785) 625-2311
Kansas,Wichita,Islamic Society of Southeast Kansas,"1296 South 220th Street, Pittsburg, KS",(703) 944-6992
Kansas,Wichita,Salina Islamic Center,"2253 Falconview Drive, Salina, KS",(785) 577-2609
Kansas,Wichita,Masjid Al Taqwa,"1208 East Wyatt Earp Blvd., Dodge City, KS",(620) 446-4340
Kentucky,Central Kentucky,The Muslim Community Center of Louisville,"8215 Old Westport Road, Louisville, KY",(502) 412-7825
Kentucky,Central Kentucky,Guiding Light Islamic Center,"6500 Six Mile Lane, Louisville, KY",(502) 491-8733
Kentucky,Central Kentucky,Islamic Center of Northern Kentucky,"8020 Action Boulevard, Florence, KY",(859) 391-2291
Kentucky,Central Kentucky,Al-Zahra Islamic Center,"4010 Bishop Lane, Louisville, KY",(502) 969-2190
Kentucky,Central Kentucky,Islamic Cultural Center of Louisville,"4007 River Road, Louisville, KY",(502) 893-9466
Kentucky,Central Kentucky,Bosniak-American Islamic Center,"5927 6 Mile Lane, Louisville, KY",(502) 495-5092
Kentucky,Central Kentucky,Al Nur Mosque,"2815 South 4th Street, Louisville, KY",(502) 614-6790
Kentucky,Central Kentucky,Islamic Center of Bowling Green,"2140 Morgantown Road, Bowling Green, KY",(270) 846-0806
Kentucky,Central Kentucky,Islamic Society of Danville,"104 Ponder Court, Danville, KY",(859) 236-0791
Kentucky,Central Kentucky,Bowling Green Islamic Society,"802 Lain Avenue, Bowling Green, KY",(270) 843-9784
Kentucky,Central Kentucky,LAC Islamic Center,"4000 Bardstown Road, Louisville, KY",(502) 876-6769
Kentucky,Central Kentucky,Islamic Center of Louisville,"1715 South 4th Street, Louisville, KY",(502) 634-4104
Kentucky,Central Kentucky,The Louisville Mosque,"1911 Buechel Bank Road, Louisville, KY",(502) 550-2701
Kentucky,Eastern Kentucky,Masjid Bilal Ibn Rabah,"1545 Russell Cave Road, Lexington, KY",(859) 233-4827
Kentucky,Eastern Kentucky,Islamic Center of Lexington,"649 South Limestone, Lexington, KY",(859) 255-0335
